Angle,Radius,Value
101.25,15,4.41E-04
101.25,20,4.18E-04
101.25,30,6.67E-04
101.25,40,4.20E-04
101.25,50,2.32E-04
101.25,60,1.05E-04
105,0.05,9.63E-05
105,0.1,4.38E-05
105,0.15,2.97E-05
105,0.2,2.22E-05
105,0.3,3.15E-05
105,0.4,2.15E-05
105,0.5,1.61E-05
105,0.6,1.28E-05
105,0.8,1.97E-05
105,1,1.56E-05
105,1.5,3.24E-05
105,2,3.10E-05
105,3,6.44E-05
105,4,6.81E-05
105,5,7.18E-05
105,6,7.51E-05
105,8,1.58E-04
105,10,1.65E-04
105,15,4.20E-04
105,20,3.97E-04
105,30,6.31E-04
105,40,3.94E-04
105,50,2.15E-04
105,60,9.64E-05
108.75,0.05,8.00E-05
108.75,0.1,3.56E-05
108.75,0.15,2.40E-05
108.75,0.2,1.79E-05
108.75,0.3,2.53E-05
108.75,0.4,1.75E-05
108.75,0.5,1.34E-05
108.75,0.6,1.08E-05
108.75,0.8,1.71E-05
108.75,1,1.38E-05
108.75,1.5,2.99E-05
108.75,2,2.90E-05
108.75,3,6.05E-05
108.75,4,6.42E-05
108.75,5,6.78E-05
108.75,6,7.09E-05
108.75,8,1.49E-04
108.75,10,1.57E-04
108.75,15,3.99E-04
108.75,20,3.76E-04
108.75,30,5.96E-04
108.75,40,3.69E-04
108.75,50,1.99E-04
108.75,60,8.83E-05
112.5,0.05,6.63E-05
112.5,0.1,2.91E-05
112.5,0.15,1.94E-05
112.5,0.2,1.44E-05
112.5,0.3,2.07E-05
112.5,0.4,1.45E-05
112.5,0.5,1.13E-05
112.5,0.6,9.20E-06
112.5,0.8,1.51E-05
112.5,1,1.25E-05
112.5,1.5,2.76E-05
112.5,2,2.74E-05
112.5,3,5.70E-05
112.5,4,6.06E-05
112.5,5,6.40E-05
112.5,6,6.71E-05
112.5,8,1.41E-04
112.5,10,1.48E-04
112.5,15,3.78E-04
112.5,20,3.57E-04
112.5,30,5.62E-04
112.5,40,3.45E-04
112.5,50,1.85E-04
112.5,60,8.12E-05
116.25,0.05,5.49E-05
